name,country,institution,dblp,pid,final_url,expertise
christoph koch,switzerland,epfl,https://dblp.org/pid/k/ChristophKoch.html,k-ChristophKoch,https://dblp.org/pid/k/ChristophKoch.html,6
christopher de sa,united states,cornell university,https://dblp.org/pers/s/Sa:Christopher_De.html,154-6336,https://dblp.org/pid/154/6336.html,10
christopher re,united states,stanford university,https://dblp.uni-trier.de/pers/r/R=eacute=:Christopher.html,r-ChristopherRe,https://dblp.uni-trier.de/pid/r/ChristopherRe.html,3
chuan lei,united states,ibm research - almaden,https://dblp.org/pid/87/10957.html,87-10957,https://dblp.org/pid/87/10957.html,2
chuan lei,united states,instacart,https://dblp.org/pid/87/10957.html,87-10957,https://dblp.org/pid/87/10957.html,5
chuan shi,china,beijing university of posts and telecommunications,https://dblp.org/pers/s/Shi:Chuan.html,64-3041,https://dblp.org/pid/64/3041.html,8
chuan xiao,japan,osaka university & nagoya university,https://dblp.uni-trier.de/pid/57/4384-1.html,57-4384-1,https://dblp.uni-trier.de/pid/57/4384-1.html,10
chun ouyang,australia,queensland university of technology,https://dblp.org/pid/20/1969-1.html,20-1969-1,https://dblp.org/pid/20/1969-1.html,5
chunbin lin,united states,amazon aws,https://dblp.org/pers/l/Lin:Chunbin.html,82-11411,https://dblp.org/pid/82/11411.html,5
claudia plant,austria,university of wien,https://dblp.org/pid/65/3446.html,65-3446,https://dblp.org/pid/65/3446.html,9
cong yu,united states,google,https://dblp.org/pers/hd/y/Yu_0001:Cong,58-3771,https://dblp.org/pid/58/3771.html,2
constantinos costa,united states,university of pittsburgh,https://dblp.org/pid/116/0694.html,116-0694,https://dblp.org/pid/116/0694.html,10
cornelia caragea,united states,university of illinois at chicago,https://dblp.uni-trier.de/pers/c/Caragea:Cornelia.html,69-6680,https://dblp.uni-trier.de/pid/69/6680.html,7
curtis dyreson,united states,utah state university,https://dblp.uni-trier.de/pid/d/CEDyreson.html,d-CEDyreson,https://dblp.uni-trier.de/pid/d/CEDyreson.html,1
cyrus shahabi,united states,computer science department. university of southern california,https://dblp.org/pid/s/CyrusShahabi.html,s-CyrusShahabi,https://dblp.org/pid/s/CyrusShahabi.html,5
da yan,united states,university of alabama at birmingham,https://dblp.org/pid/81/9436-1.html,81-9436-1,https://dblp.org/pid/81/9436-1.html,10
daheng wang,united states,university of notre dame,https://dblp.uni-trier.de/pers/hd/w/Wang:Daheng,223-3148,https://dblp.uni-trier.de/pid/223/3148.html,9
daisy zhe wang,united states,univeresity of florida,https://dblp.org/pers/w/Wang:Daisy_Zhe.html,27-2143,https://dblp.org/pid/27/2143.html,3
daisy zhe wang,united states,university of florida,https://dblp.org/pers/w/Wang:Daisy_Zhe.html,27-2143,https://dblp.org/pid/27/2143.html,3
dan kifer,united states,penn state university,https://dblp.org/pid/84/114.html,84-114,https://dblp.org/pid/84/114.html,2
